Category,Original,Dispatched Qty,Date
Condiments,623,599,1/6/2020
Hair Care,42242,28443,5/25/2020
Hair Care,71957,48597,5/18/2020
Condiments,3145,2934,1/13/2020
Hair Care,57340,33602,5/11/2020
Hair Care,49579,34869,5/4/2020
Hair Care,70334,54641,4/27/2020
Hair Care,65380,53169,4/20/2020
Condiments,3266,2570,1/20/2020
Hair Care,19022,13064,4/13/2020
Condiments,4151,4014,1/27/2020
Condiments,2401,2351,2/3/2020
Hair Care,41577,14494,4/6/2020
Condiments,2678,2578,2/10/2020
Hair Care,205882,74581,3/30/2020
Condiments,1894,1807,2/17/2020
Condiments,3203,3099,2/24/2020
Condiments,3458,3289,3/2/2020
Hair Care,70670,47282,3/23/2020
Condiments,2362,2176,3/9/2020
Condiments,3493,3287,3/16/2020
Hair Care,38968,34783,3/16/2020
Condiments,5757,5447,3/23/2020
Condiments,20251,15678,3/30/2020
Hair Care,44959,37554,3/9/2020
Hair Care,57505,46777,3/2/2020
Condiments,2638,2163,4/6/2020
Hair Care,73205,52385,2/24/2020
Condiments,8008,4110,4/13/2020
Condiments,10133,7087,4/20/2020
Condiments,7994,3529,4/27/2020
Hair Care,38991,30247,2/17/2020
Hair Care,37206,28387,2/10/2020
Condiments,1292,417,5/4/2020
Hair Care,108469,93625,2/3/2020
Hair Care,58499,49254,1/27/2020
Condiments,5365,1734,5/11/2020
Hair Care,46321,38028,1/20/2020
Condiments,14067,6205,5/18/2020
Hair Care,33061,28049,1/13/2020
Hair Care,14139,12105,1/6/2020
Condiments,5126,2387,5/25/2020
